2014-07-09T15:51:36.284+0200: 3.896: [GC [PSYoungGen: 13778K->2529K(13824K)] 20575K->12567K(30208K), 0.0050103 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:36.377+0200: 3.989: [GC [PSYoungGen: 13780K->608K(13824K)] 23818K->10654K(30208K), 0.0006167 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:36.382+0200: 3.994: [GC [PSYoungGen: 11857K->2529K(13824K)] 21903K->13703K(30208K), 0.0030335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:36.385+0200: 3.997: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 11174K->4107K(16384K)] 13703K->4107K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0073285 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:36.429+0200: 4.041: [GC [PSYoungGen: 11249K->2529K(13824K)] 15356K->10798K(30208K), 0.0052633 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2014-07-09T15:51:36.485+0200: 4.097: [GC [PSYoungGen: 13778K->1536K(13824K)] 22047K->9813K(30208K), 0.0023647 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:36.528+0200: 4.140: [GC [PSYoungGen: 12770K->2529K(13824K)] 21047K->11134K(30208K), 0.0112543 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:36.578+0200: 4.190: [GC [PSYoungGen: 13778K->2529K(13824K)] 22384K->14536K(30208K), 0.0047438 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:36.583+0200: 4.195: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 12007K->6151K(16384K)] 14536K->6151K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0099784 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:36.627+0200: 4.239: [GC [PSYoungGen: 11251K->768K(13824K)] 17402K->6919K(30208K), 0.0006376 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:36.679+0200: 4.292: [GC [PSYoungGen: 12017K->2529K(13824K)] 18168K->9968K(30208K), 0.0043214 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
